Student_Names,Phone_No.,Gender,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
रंजित Divedi,9138834201,Female,4,Yes,47,43,31,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Anji Rai,9774100303,Female,4,Yes,74,35,48,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Maheah Tiwari,9242582514,Female,6,Yes,56,93,93,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Chitrasen Divedi,9564200532,Male,6,No,11,17,47,F,Failed,Better luck next time,NULL,NULL,NULL
Ramsurat Gupta,9991254739,Female,1,No,66,82,62,B,Average Performance,Better luck next time,NULL,NULL,NULL
Hari Maurya,9807892864,Male,7,No,82,29,49,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ridhi Kumari,9304395527,Male,5,No,35,31,43,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Daud Rai,9475092085,Female,2,Yes,77,82,25,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
अंकित Maurrya,9882900404,Male,10,No,41,79,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dukhan Singh,9532583121,Female,1,No,100,80,53,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Sujita Mishra,9582948805,Male,10,No,40,59,49,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Parmish Seth,9270317350,Male,8,No,21,53,37,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Abhiman Tiwari,9519630590,Male,3,Yes,78,98,89,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Vidyasagar Sonkar,9355547158,Male,2,Yes,72,72,44,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Shivika Devi,9789809297,Female,4,Yes,46,39,58,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Lovekush Rao,9463288952,Female,7,No,68,72,14,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Anjli Mishra,9305074070,Male,3,No,22,50,15,F,Failed,Better luck next time,NULL,NULL,NULL
Dhami Vishwakarma,9855605395,Male,10,No,69,35,81,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Apan Singh,9608667246,Male,5,No,48,94,50,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Tutun Vishwakarma,9408151433,Female,10,No,95,80,84,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Deenbandhu Tiwari,9819188600,Male,1,No,99,12,48,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sombhu Yadav,9956638333,Male,6,No,41,58,34,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mahanthesh Sonkar,9842933352,Female,7,No,68,34,72,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Palvi Gupta,9336356317,Female,9,Yes,20,45,62,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shirajul Gupta,9400958562,Male,4,Yes,56,70,68,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Surya Kant Singh,9448934589,Male,6,Yes,56,27,47,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Maloy Seth,9190558652,Female,10,Yes,23,88,81,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Gopal Das Gupta,9446224386,Female,1,No,56,28,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rahis Rao,9715651930,Female,9,No,78,78,53,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sagar Vishwakarma,9278499376,Female,1,No,50,11,32,F,Failed,Better luck next time,NULL,NULL,NULL
Kumar Sonu Mishra,9925056902,Male,7,No,93,94,27,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Revanna Sonkar,9957521197,Female,2,No,45,77,70,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Ukesh Pandey,9175448429,Male,9,No,11,97,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Reetika Kumar,9866556492,Female,2,Yes,30,86,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Chunara Rajput,9030780646,Female,9,No,31,88,68,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Hadiyal Sonkar,9937384797,Male,8,Yes,57,44,29,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Krishna Murari Kumari,9665415750,Female,3,Yes,67,71,48,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Sanjeeva Vishwakarma,9149810204,Male,3,No,74,65,54,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Shalni Rai,9323591752,Female,10,Yes,61,30,85,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nilakantha Rajput,9242830306,Male,9,Yes,68,22,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Radhakrishna Tiwari,9450919305,Male,10,Yes,67,26,40,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nandlal Kumar Yadav,9629110602,Female,2,Yes,58,80,63,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Ajab Pandey,9277361529,Female,6,Yes,65,58,20,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sudevi Pandey,9610813786,Male,5,Yes,15,62,21,F,Failed,Better luck next time,NULL,NULL,NULL
Lalbhadur Rajput,9685371081,Male,8,Yes,90,97,39,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Millind Singh,9508912035,Female,10,Yes,55,71,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Subburaj Tiwari,9856424495,Female,7,No,46,85,90,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Jumpi Thakur,9488691215,Female,9,Yes,50,69,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sewa Sonkar,9757854194,Male,3,No,38,73,14,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Siya Thakur,9605280924,Male,5,No,98,90,70,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Laba Yadav,9445601076,Female,7,Yes,41,67,68,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kanaram Rai,9383662344,Female,1,Yes,23,67,87,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Debiprasad Pratap,9632048441,Female,2,No,31,95,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Yogendra Thakur,9126700855,Female,9,No,16,29,35,F,Failed,Better luck next time,NULL,NULL,NULL
Betu Seth,9520882457,Female,7,Yes,81,67,70,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Gulista Singh,9230090942,Male,6,Yes,94,41,64,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Rik Vishwakarma,9251415103,Male,7,Yes,99,40,86,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Suresh M Gupta,9933154235,Female,10,No,40,74,22,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Immu Yadav,9942644282,Female,5,Yes,73,38,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Uv Rao,9352641024,Female,8,Yes,41,39,87,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Araadhak Divedi,9435335683,Female,4,No,95,93,28,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Indradev Divedi,9372371133,Male,7,No,60,12,72,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Darvesh Seth,9928554708,Female,7,Yes,76,34,15,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ranganath Srivastav,9533302865,Female,7,No,29,52,11,F,Failed,Better luck next time,NULL,NULL,NULL
Ramakanth Sonkar,9486760416,Female,6,Yes,19,54,82,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Anubhav Srivastav,9963409939,Male,9,No,14,93,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Charnjeet Rai,9488281613,Female,9,No,99,13,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shikhar Devi,9315259794,Female,10,Yes,34,69,78,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Md Jawed Vishwakarma,9463161409,Male,8,Yes,100,25,17,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Papari Sonkar,9277016604,Female,7,Yes,53,88,94,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Bhagaban Divedi,9352017681,Female,8,No,77,39,83,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Ayyub Rao,9718660330,Male,7,No,69,38,73,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sunirmal Singh,9972897521,Male,7,No,72,95,17,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Shama Vishwakarma,9668344739,Male,9,No,89,23,99,B,Average Performance,Better luck next time,NULL,NULL,NULL
Chandrasekaran Singh,9346178445,Male,8,No,12,66,30,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sonelal Maurya,9183956113,Female,7,Yes,85,56,96,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Sikendra Tiwari,9149086573,Male,2,Yes,81,76,91,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Sanjip Pratap,9981456814,Male,3,Yes,84,17,35,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dristi Seth,9500343068,Male,8,No,16,19,29,F,Failed,Better luck next time,NULL,NULL,NULL
Mahtab Rajput,9003538120,Female,2,No,23,84,83,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Bunti Yadav,9293152725,Female,2,No,90,49,93,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
हरीश Gupta,9673477060,Male,3,No,32,85,90,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Vinitha Mishra,9288796106,Male,10,Yes,93,75,93,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Sailabala Vishwakarma,9871608068,Male,10,Yes,43,42,71,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Khokhar Pandit,9912713573,Male,2,No,84,92,31,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Salin Divedi,9037119498,Female,5,Yes,73,55,96,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Nishanth Tiwari,9969170869,Female,9,Yes,73,76,34,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Aatmaj Rai,9452366342,Female,2,No,93,63,86,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Umesh Yadav Rajput,9645217108,Female,1,Yes,95,31,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Vaishali Mishra,9087652147,Male,5,No,62,38,68,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sabaj Rajput,9894194186,Male,4,Yes,29,67,98,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Saicharan Pandey,9261851931,Male,7,No,59,58,79,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Tanka Seth,9816879298,Male,1,No,39,88,74,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Suryansh Pratap,9537659804,Female,7,No,93,44,25,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sunaram Thakur,9413354871,Male,1,Yes,92,20,51,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ruhaan Yadav,9534069787,Female,9,Yes,28,16,17,F,Failed,Better luck next time,NULL,NULL,NULL
Ashwini Kumar Devi,9349565370,Female,6,No,25,15,93,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Majani Maurrya,9544978767,Female,6,Yes,10,18,70,F,Failed,Better luck next time,NULL,NULL,NULL
Mahadevan Srivastav,9713156780,Female,5,Yes,88,49,49,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Hemali Pratap,9633297613,Male,3,No,85,87,37,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
नागनाथ Pandit,9488644479,Male,2,Yes,44,28,61,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Parimal Pandey,9234871298,Male,3,Yes,19,65,61,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gurbachan Gupta,9528274599,Female,9,No,94,67,16,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Visu Singh,9157730809,Female,8,No,13,100,60,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nethra Mishra,9573296149,Male,10,Yes,63,14,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mohd Salman Thakur,9805059620,Male,2,No,77,75,57,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sarata Kumari,9502751198,Female,2,No,48,16,80,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Avinesh Singh,9403552397,Male,2,Yes,59,49,68,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Immu Sonkar,9741245894,Male,4,No,29,80,70,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Mhadev Rajput,9455751334,Male,2,No,57,29,79,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jais Kumar,9071365083,Male,2,Yes,95,16,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Vijju Thakur,9729573691,Male,5,No,37,63,81,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ram Prasad Gupta,9553257635,Male,4,Yes,17,80,98,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Manoshi Tiwari,9057330161,Male,7,Yes,100,66,13,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rozy Seth,9420888096,Male,1,No,32,20,15,F,Failed,Better luck next time,NULL,NULL,NULL
Sweta Rao,9086227154,Male,5,No,70,58,85,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Mann Kumari,9817404752,Male,10,Yes,24,92,79,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Jiddi Gupta,9454457751,Male,8,Yes,41,62,85,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Gnaneshwar Srivastav,9815089205,Male,5,Yes,41,54,66,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Deepaksingh Tiwari,9870009199,Male,2,Yes,93,14,94,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Kangkan Mishra,9673903051,Female,9,Yes,95,24,24,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Jot Yadav,9811698351,Female,4,No,59,21,69,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Pammu Srivastav,9281804818,Male,9,Yes,90,69,83,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Khileshwar Gupta,9534513043,Female,4,No,30,51,39,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Javitri Sonkar,9586372886,Female,7,Yes,64,67,14,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kavir Gupta,9339094620,Male,9,No,68,33,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sathiyaraj Pratap,9067573229,Male,1,No,34,59,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Happy Yadav,9022651171,Female,10,No,86,40,62,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Pinu Seth,9160476711,Female,7,Yes,75,68,18,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jaanu Thakur,9605017275,Male,5,Yes,90,74,50,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
रोहित Yadav,9878661416,Female,7,Yes,38,74,33,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mamtha Rajput,9424783121,Female,8,Yes,98,28,88,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Eswaran Mishra,9437938095,Female,2,Yes,13,60,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Raj Bahadur Singh,9698521568,Male,5,No,51,24,79,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Umadevi Sonkar,9034861239,Male,4,No,27,14,59,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shifa Pandey,9779848381,Male,9,Yes,76,32,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Anga Tiwari,9974810890,Male,10,No,64,60,15,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mhendra Divedi,9294991614,Male,5,No,73,12,97,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shahalam Yadav,9819582131,Male,5,No,51,19,89,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jaysree Pratap,9734310509,Female,2,No,78,44,80,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Aarif Rajput,9072318393,Female,3,No,61,41,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Krupasindhu Tiwari,9122301075,Female,3,No,26,99,61,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Habil Tiwari,9132254353,Male,4,Yes,61,81,41,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Bhadresh Thakur,9300491393,Female,5,Yes,17,53,88,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Abdul Majid Thakur,9504695006,Female,9,Yes,25,22,93,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Prachiti Rao,9570161222,Male,6,No,58,56,66,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nikumoni Kumari,9836111401,Female,4,Yes,79,85,77,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Sejal Pandey,9228405888,Male,4,Yes,96,45,77,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Aejaz Mishra,9067127133,Female,3,No,33,51,34,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Brijkishor Gupta,9240786577,Female,8,No,49,50,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Maa Gupta,9327620891,Female,10,No,35,31,81,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shashi Bhushan Pratap,9953185918,Male,10,No,86,63,24,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
राजेन्द्र Kumari,9755094330,Male,9,No,11,78,98,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Dishita Srivastav,9398460415,Male,9,No,86,68,73,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Sandiya Mishra,9493045969,Female,6,No,85,85,87,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Vishnu Kumar Kumar,9567691281,Male,2,No,82,19,56,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nabab Pratap,9553086319,Male,6,No,51,46,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jasmeet Vishwakarma,9697297180,Female,2,No,77,57,48,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nonu Maurrya,9065266564,Female,4,Yes,42,49,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Varun Pandit,9243493494,Female,6,Yes,71,35,55,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bhaves Devi,9294034276,Female,8,Yes,26,25,30,F,Failed,Better luck next time,NULL,NULL,NULL
Aftab Alam Pandey,9840705192,Male,2,No,36,28,59,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rajeshkumar Srivastav,9604940164,Male,1,No,93,90,43,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Shripal Gupta,9669037670,Male,3,No,81,16,74,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Parbej Mishra,9894316692,Male,4,No,50,16,69,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sawmtei Pandey,9953103632,Female,9,No,91,25,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Devangi Vishwakarma,9628733476,Female,6,Yes,33,11,36,F,Failed,Better luck next time,NULL,NULL,NULL
Bahadur Pandit,9612692935,Male,7,No,95,50,91,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
J R Pandey,9468096017,Female,5,No,29,68,74,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ekaksh Mishra,9534064848,Male,3,No,64,48,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mumbai Sonkar,9353690184,Male,6,Yes,75,54,69,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Nischay Thakur,9552795508,Female,9,No,91,60,99,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Barnali Pandey,9993777479,Female,5,Yes,32,22,72,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rimjhim Divedi,9599562960,Male,4,No,95,16,74,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Kinnera Seth,9931575396,Female,7,Yes,96,75,52,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Nishad Yadav,9985955046,Female,3,Yes,96,57,53,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sanjeeva Yadav,9620312594,Male,2,Yes,49,11,32,F,Failed,Better luck next time,NULL,NULL,NULL
Endless Maurya,9313154328,Female,6,Yes,59,80,24,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Lakhaman Singh,9987146422,Male,7,No,91,45,89,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Shymal Thakur,9587428047,Female,8,No,16,26,47,F,Failed,Better luck next time,NULL,NULL,NULL
Kartika Maurrya,9156695393,Male,1,No,87,54,16,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pavitra Singh,9470313010,Female,7,Yes,74,56,72,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Rafeek Devi,9253930222,Female,9,No,17,93,98,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
अनुराग Seth,9470538369,Male,10,No,75,56,11,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
મહેશ Pratap,9245383290,Male,5,Yes,42,31,27,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Hrishita Pratap,9795301220,Male,6,No,75,90,24,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Pri Devi,9043219017,Male,10,No,25,93,89,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Jagdis Rajput,9813718015,Female,7,Yes,56,82,61,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Gyan Prakash Gupta,9205112972,Male,3,Yes,70,55,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jushna Devi,9691347941,Female,6,Yes,90,68,99,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Haseen Yadav,9327193920,Female,4,Yes,26,92,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Tofan Srivastav,9925554689,Male,4,No,69,36,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nitin Kumar Kumari,9966953282,Female,2,No,10,30,29,F,Failed,Better luck next time,NULL,NULL,NULL
Mansingh Rao,9025869789,Female,9,No,20,93,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kamya Tiwari,9621292138,Male,2,No,26,74,63,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Thippu Devi,9388878738,Male,10,No,94,12,80,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Ashima Maurya,9413504379,Female,3,No,86,29,56,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nanao Rao,9271342228,Male,10,Yes,34,31,42,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bhojraj Devi,9541910690,Male,3,Yes,76,67,37,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sahab Sonkar,9951302310,Female,4,No,54,96,86,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Nashir Singh,9927832430,Male,9,No,43,49,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pirtam Sonkar,9908735853,Female,5,No,50,87,77,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Bheemraj Pandey,9700512147,Female,3,No,44,62,43,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Achhelal Tiwari,9009053847,Female,4,No,19,78,16,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Raaj Tiwari,9272491665,Male,3,No,99,78,93,A,Very Good Achivement,Better luck next time,NULL,NULL,NULL
Bira Pandit,9094011605,Female,6,Yes,66,91,92,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Jayram Thakur,9615548046,Female,1,No,99,90,58,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Brijesh Tiwari,9714113146,Male,7,No,99,13,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
